,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
201,"Hey, Soul Sister",Train,neo mellow,264.4455645,58.49395161,55.49395161,-3.616935484,19.375,93.62701613,204.9092742,-59.50201613,-15.39919355,-19.09274194
202,Love The Way You Lie,Eminem,detroit hip hop,265.4935484,58.34516129,55.40322581,-3.606451613,19.37419355,93.87419355,204.7193548,-60.00967742,-15.56774194,-19.76129032
203,TiK ToK,Kesha,dance pop,266.5415323,58.19637097,55.3125,-3.595967742,19.3733871,94.12137097,204.5294355,-60.51733871,-15.73629032,-20.42983871
204,Bad Romance,Lady Gaga,dance pop,267.5895161,58.04758065,55.22177419,-3.585483871,19.37258065,94.36854839,204.3395161,-61.025,-15.90483871,-21.0983871
205,Just the Way You Are,Bruno Mars,pop,268.6375,57.89879032,55.13104839,-3.575,19.37177419,94.61572581,204.1495968,-61.53266129,-16.0733871,-21.76693548
206,Baby,Justin Bieber,canadian pop,269.6854839,57.75,55.04032258,-3.564516129,19.37096774,94.86290323,203.9596774,-62.04032258,-16.24193548,-22.43548387
207,Dynamite,Taio Cruz,dance pop,270.7334677,57.60120968,54.94959677,-3.554032258,19.37016129,95.11008065,203.7697581,-62.54798387,-16.41048387,-23.10403226
208,Secrets,OneRepublic,dance pop,271.7814516,57.45241935,54.85887097,-3.543548387,19.36935484,95.35725806,203.5798387,-63.05564516,-16.57903226,-23.77258065
209,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,272.8294355,57.30362903,54.76814516,-3.533064516,19.36854839,95.60443548,203.3899194,-63.56330645,-16.74758065,-24.44112903
210,Only Girl (In The World),Rihanna,barbadian pop,273.8774194,57.15483871,54.67741935,-3.522580645,19.36774194,95.8516129,203.2,-64.07096774,-16.91612903,-25.10967742
211,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,274.9254032,57.00604839,54.58669355,-3.512096774,19.36693548,96.09879032,203.0100806,-64.57862903,-17.08467742,-25.77822581
212,Marry You,Bruno Mars,pop,275.9733871,56.85725806,54.49596774,-3.501612903,19.36612903,96.34596774,202.8201613,-65.08629032,-17.25322581,-26.44677419
213,Cooler Than Me - Single Mix,Mike Posner,dance pop,277.021371,56.70846774,54.40524194,-3.491129032,19.36532258,96.59314516,202.6302419,-65.59395161,-17.42177419,-27.11532258
214,Telephone,Lady Gaga,dance pop,278.0693548,56.55967742,54.31451613,-3.480645161,19.36451613,96.84032258,202.4403226,-66.1016129,-17.59032258,-27.78387097
215,Like A G9,Far East Movement,dance pop,279.1173387,56.4108871,54.22379032,-3.47016129,19.36370968,97.0875,202.2504032,-66.60927419,-17.75887097,-28.45241935
216,OMG (feat. will.i.am),Usher,atl hip hop,280.1653226,56.26209677,54.13306452,-3.459677419,19.36290323,97.33467742,202.0604839,-67.11693548,-17.92741935,-29.12096774
217,Eenie Meenie,Sean Kingston,dance pop,281.2133065,56.11330645,54.04233871,-3.449193548,19.36209677,97.58185484,201.8705645,-67.62459677,-18.09596774,-29.78951613
218,The Time (Dirty Bit),The Black Eyed Peas,dance pop,282.2612903,55.96451613,53.9516129,-3.438709677,19.36129032,97.82903226,201.6806452,-68.13225806,-18.26451613,-30.45806452
219,Alejandro,Lady Gaga,dance pop,283.3092742,55.81572581,53.8608871,-3.428225806,19.36048387,98.07620968,201.4907258,-68.63991935,-18.43306452,-31.1266129
220,Your Love Is My Drug,Kesha,dance pop,284.3572581,55.66693548,53.77016129,-3.417741935,19.35967742,98.3233871,201.3008065,-69.14758065,-18.6016129,-31.79516129
221,Meet Me Halfway,The Black Eyed Peas,dance pop,285.4052419,55.51814516,53.67943548,-3.407258065,19.35887097,98.57056452,201.1108871,-69.65524194,-18.77016129,-32.46370968
222,Whataya Want from Me,Adam Lambert,australian pop,286.4532258,55.36935484,53.58870968,-3.396774194,19.35806452,98.81774194,200.9209677,-70.16290323,-18.93870968,-33.13225806
223,Take It Off,Kesha,dance pop,287.5012097,55.22056452,53.49798387,-3.386290323,19.35725806,99.06491935,200.7310484,-70.67056452,-19.10725806,-33.80080645
224,Misery,Maroon 8,pop,288.5491935,55.07177419,53.40725806,-3.375806452,19.35645161,99.31209677,200.541129,-71.17822581,-19.27580645,-34.46935484
225,All The Right Moves,OneRepublic,dance pop,289.5971774,54.92298387,53.31653226,-3.365322581,19.35564516,99.55927419,200.3512097,-71.6858871,-19.44435484,-35.13790323
226,Animal,Neon Trees,indie pop,290.6451613,54.77419355,53.22580645,-3.35483871,19.35483871,99.80645161,200.1612903,-72.19354839,-19.61290323,-35.80645161
227,Naturally,Selena Gomez & The Scene,dance pop,291.6931452,54.62540323,53.13508065,-3.344354839,19.35403226,100.053629,199.971371,-72.70120968,-19.78145161,-36.475
228,I Like It,Enrique Iglesias,dance pop,292.741129,54.4766129,53.04435484,-3.333870968,19.35322581,100.3008065,199.7814516,-73.20887097,-19.95,-37.14354839
229,Teenage Dream,Katy Perry,dance pop,293.7891129,54.32782258,52.95362903,-3.323387097,19.35241935,100.5479839,199.5915323,-73.71653226,-20.11854839,-37.81209677
230,California Gurls,Katy Perry,dance pop,294.8370968,54.17903226,52.86290323,-3.312903226,19.3516129,100.7951613,199.4016129,-74.22419355,-20.28709677,-38.48064516
231,6,Britney Spears,dance pop,295.8850806,54.03024194,52.77217742,-3.302419355,19.35080645,101.0423387,199.2116935,-74.73185484,-20.45564516,-39.14919355
232,"Hey, Soul Sister",Train,neo mellow,296.9330645,53.88145161,52.68145161,-3.291935484,19.35,101.2895161,199.0217742,-75.23951613,-20.62419355,-39.81774194
233,Love The Way You Lie,Eminem,detroit hip hop,297.9810484,53.73266129,52.59072581,-3.281451613,19.34919355,101.5366935,198.8318548,-75.74717742,-20.79274194,-40.48629032
234,TiK ToK,Kesha,dance pop,299.0290323,53.58387097,52.5,-3.270967742,19.3483871,101.783871,198.6419355,-76.25483871,-20.96129032,-41.15483871
235,Bad Romance,Lady Gaga,dance pop,300.0770161,53.43508065,52.40927419,-3.260483871,19.34758065,102.0310484,198.4520161,-76.7625,-21.12983871,-41.8233871
236,Just the Way You Are,Bruno Mars,pop,301.125,53.28629032,52.31854839,-3.25,19.34677419,102.2782258,198.2620968,-77.27016129,-21.2983871,-42.49193548
237,Baby,Justin Bieber,canadian pop,302.1729839,53.1375,52.22782258,-3.239516129,19.34596774,102.5254032,198.0721774,-77.77782258,-21.46693548,-43.16048387
238,Dynamite,Taio Cruz,dance pop,303.2209677,52.98870968,52.13709677,-3.229032258,19.34516129,102.7725806,197.8822581,-78.28548387,-21.63548387,-43.82903226
239,Secrets,OneRepublic,dance pop,304.2689516,52.83991935,52.04637097,-3.218548387,19.34435484,103.0197581,197.6923387,-78.79314516,-21.80403226,-44.49758065
240,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,305.3169355,52.69112903,51.95564516,-3.208064516,19.34354839,103.2669355,197.5024194,-79.30080645,-21.97258065,-45.16612903
241,Only Girl (In The World),Rihanna,barbadian pop,306.3649194,52.54233871,51.86491935,-3.197580645,19.34274194,103.5141129,197.3125,-79.80846774,-22.14112903,-45.83467742
242,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,307.4129032,52.39354839,51.77419355,-3.187096774,19.34193548,103.7612903,197.1225806,-80.31612903,-22.30967742,-46.50322581
243,Marry You,Bruno Mars,pop,308.4608871,52.24475806,51.68346774,-3.176612903,19.34112903,104.0084677,196.9326613,-80.82379032,-22.47822581,-47.17177419
244,Cooler Than Me - Single Mix,Mike Posner,dance pop,309.508871,52.09596774,51.59274194,-3.166129032,19.34032258,104.2556452,196.7427419,-81.33145161,-22.64677419,-47.84032258
245,Telephone,Lady Gaga,dance pop,310.5568548,51.94717742,51.50201613,-3.155645161,19.33951613,104.5028226,196.5528226,-81.8391129,-22.81532258,-48.50887097
246,Like A G10,Far East Movement,dance pop,311.6048387,51.7983871,51.41129032,-3.14516129,19.33870968,104.75,196.3629032,-82.34677419,-22.98387097,-49.17741935
247,OMG (feat. will.i.am),Usher,atl hip hop,312.6528226,51.64959677,51.32056452,-3.134677419,19.33790323,104.9971774,196.1729839,-82.85443548,-23.15241935,-49.84596774
248,Eenie Meenie,Sean Kingston,dance pop,313.7008065,51.50080645,51.22983871,-3.124193548,19.33709677,105.2443548,195.9830645,-83.36209677,-23.32096774,-50.51451613
249,The Time (Dirty Bit),The Black Eyed Peas,dance pop,314.7487903,51.35201613,51.1391129,-3.113709677,19.33629032,105.4915323,195.7931452,-83.86975806,-23.48951613,-51.18306452
250,Alejandro,Lady Gaga,dance pop,315.7967742,51.20322581,51.0483871,-3.103225806,19.33548387,105.7387097,195.6032258,-84.37741935,-23.65806452,-51.8516129
251,"Hey, Soul Sister",Train,neo mellow,316.8447581,51.05443548,50.95766129,-3.092741935,19.33467742,105.9858871,195.4133065,-84.88508065,-23.8266129,-52.52016129
252,Love The Way You Lie,Eminem,detroit hip hop,317.8927419,50.90564516,50.86693548,-3.082258065,19.33387097,106.2330645,195.2233871,-85.39274194,-23.99516129,-53.18870968
253,TiK ToK,Kesha,dance pop,318.9407258,50.75685484,50.77620968,-3.071774194,19.33306452,106.4802419,195.0334677,-85.90040323,-24.16370968,-53.85725806
254,Bad Romance,Lady Gaga,dance pop,319.9887097,50.60806452,50.68548387,-3.061290323,19.33225806,106.7274194,194.8435484,-86.40806452,-24.33225806,-54.52580645
255,Just the Way You Are,Bruno Mars,pop,321.0366935,50.45927419,50.59475806,-3.050806452,19.33145161,106.9745968,194.653629,-86.91572581,-24.50080645,-55.19435484
256,Baby,Justin Bieber,canadian pop,322.0846774,50.31048387,50.50403226,-3.040322581,19.33064516,107.2217742,194.4637097,-87.4233871,-24.66935484,-55.86290323
257,Dynamite,Taio Cruz,dance pop,323.1326613,50.16169355,50.41330645,-3.02983871,19.32983871,107.4689516,194.2737903,-87.93104839,-24.83790323,-56.53145161
258,Secrets,OneRepublic,dance pop,324.1806452,50.01290323,50.32258065,-3.019354839,19.32903226,107.716129,194.083871,-88.43870968,-25.00645161,-57.2
259,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,325.228629,49.8641129,50.23185484,-3.008870968,19.32822581,107.9633065,193.8939516,-88.94637097,-25.175,-57.86854839
260,Only Girl (In The World),Rihanna,barbadian pop,326.2766129,49.71532258,50.14112903,-2.998387097,19.32741935,108.2104839,193.7040323,-89.45403226,-25.34354839,-58.53709677
261,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,327.3245968,49.56653226,50.05040323,-2.987903226,19.3266129,108.4576613,193.5141129,-89.96169355,-25.51209677,-59.20564516
262,Marry You,Bruno Mars,pop,328.3725806,49.41774194,49.95967742,-2.977419355,19.32580645,108.7048387,193.3241935,-90.46935484,-25.68064516,-59.87419355
263,Cooler Than Me - Single Mix,Mike Posner,dance pop,329.4205645,49.26895161,49.86895161,-2.966935484,19.325,108.9520161,193.1342742,-90.97701613,-25.84919355,-60.54274194
264,Telephone,Lady Gaga,dance pop,330.4685484,49.12016129,49.77822581,-2.956451613,19.32419355,109.1991935,192.9443548,-91.48467742,-26.01774194,-61.21129032
265,Like A G10,Far East Movement,dance pop,331.5165323,48.97137097,49.6875,-2.945967742,19.3233871,109.446371,192.7544355,-91.99233871,-26.18629032,-61.87983871
266,OMG (feat. will.i.am),Usher,atl hip hop,332.5645161,48.82258065,49.59677419,-2.935483871,19.32258065,109.6935484,192.5645161,-92.5,-26.35483871,-62.5483871
267,Eenie Meenie,Sean Kingston,dance pop,333.6125,48.67379032,49.50604839,-2.925,19.32177419,109.9407258,192.3745968,-93.00766129,-26.5233871,-63.21693548
268,The Time (Dirty Bit),The Black Eyed Peas,dance pop,334.6604839,48.525,49.41532258,-2.914516129,19.32096774,110.1879032,192.1846774,-93.51532258,-26.69193548,-63.88548387
269,Alejandro,Lady Gaga,dance pop,335.7084677,48.37620968,49.32459677,-2.904032258,19.32016129,110.4350806,191.9947581,-94.02298387,-26.86048387,-64.55403226
270,Your Love Is My Drug,Kesha,dance pop,336.7564516,48.22741935,49.23387097,-2.893548387,19.31935484,110.6822581,191.8048387,-94.53064516,-27.02903226,-65.22258065
271,Meet Me Halfway,The Black Eyed Peas,dance pop,337.8044355,48.07862903,49.14314516,-2.883064516,19.31854839,110.9294355,191.6149194,-95.03830645,-27.19758065,-65.89112903
272,Whataya Want from Me,Adam Lambert,australian pop,338.8524194,47.92983871,49.05241935,-2.872580645,19.31774194,111.1766129,191.425,-95.54596774,-27.36612903,-66.55967742
273,Take It Off,Kesha,dance pop,339.9004032,47.78104839,48.96169355,-2.862096774,19.31693548,111.4237903,191.2350806,-96.05362903,-27.53467742,-67.22822581
274,Misery,Maroon 9,pop,340.9483871,47.63225806,48.87096774,-2.851612903,19.31612903,111.6709677,191.0451613,-96.56129032,-27.70322581,-67.89677419
275,All The Right Moves,OneRepublic,dance pop,341.996371,47.48346774,48.78024194,-2.841129032,19.31532258,111.9181452,190.8552419,-97.06895161,-27.87177419,-68.56532258
276,Animal,Neon Trees,indie pop,343.0443548,47.33467742,48.68951613,-2.830645161,19.31451613,112.1653226,190.6653226,-97.5766129,-28.04032258,-69.23387097
277,Naturally,Selena Gomez & The Scene,dance pop,344.0923387,47.1858871,48.59879032,-2.82016129,19.31370968,112.4125,190.4754032,-98.08427419,-28.20887097,-69.90241935
278,I Like It,Enrique Iglesias,dance pop,345.1403226,47.03709677,48.50806452,-2.809677419,19.31290323,112.6596774,190.2854839,-98.59193548,-28.37741935,-70.57096774
279,Teenage Dream,Katy Perry,dance pop,346.1883065,46.88830645,48.41733871,-2.799193548,19.31209677,112.9068548,190.0955645,-99.09959677,-28.54596774,-71.23951613
280,California Gurls,Katy Perry,dance pop,347.2362903,46.73951613,48.3266129,-2.788709677,19.31129032,113.1540323,189.9056452,-99.60725806,-28.71451613,-71.90806452
281,7,Britney Spears,dance pop,348.2842742,46.59072581,48.2358871,-2.778225806,19.31048387,113.4012097,189.7157258,-100.1149194,-28.88306452,-72.5766129
282,"Hey, Soul Sister",Train,neo mellow,349.3322581,46.44193548,48.14516129,-2.767741935,19.30967742,113.6483871,189.5258065,-100.6225806,-29.0516129,-73.24516129
283,Love The Way You Lie,Eminem,detroit hip hop,350.3802419,46.29314516,48.05443548,-2.757258065,19.30887097,113.8955645,189.3358871,-101.1302419,-29.22016129,-73.91370968
284,TiK ToK,Kesha,dance pop,351.4282258,46.14435484,47.96370968,-2.746774194,19.30806452,114.1427419,189.1459677,-101.6379032,-29.38870968,-74.58225806
285,Bad Romance,Lady Gaga,dance pop,352.4762097,45.99556452,47.87298387,-2.736290323,19.30725806,114.3899194,188.9560484,-102.1455645,-29.55725806,-75.25080645
286,Just the Way You Are,Bruno Mars,pop,353.5241935,45.84677419,47.78225806,-2.725806452,19.30645161,114.6370968,188.766129,-102.6532258,-29.72580645,-75.91935484
287,Baby,Justin Bieber,canadian pop,354.5721774,45.69798387,47.69153226,-2.715322581,19.30564516,114.8842742,188.5762097,-103.1608871,-29.89435484,-76.58790323
288,Dynamite,Taio Cruz,dance pop,355.6201613,45.54919355,47.60080645,-2.70483871,19.30483871,115.1314516,188.3862903,-103.6685484,-30.06290323,-77.25645161
289,Secrets,OneRepublic,dance pop,356.6681452,45.40040323,47.51008065,-2.694354839,19.30403226,115.378629,188.196371,-104.1762097,-30.23145161,-77.925
290,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,357.716129,45.2516129,47.41935484,-2.683870968,19.30322581,115.6258065,188.0064516,-104.683871,-30.4,-78.59354839
291,Only Girl (In The World),Rihanna,barbadian pop,358.7641129,45.10282258,47.32862903,-2.673387097,19.30241935,115.8729839,187.8165323,-105.1915323,-30.56854839,-79.26209677
292,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,359.8120968,44.95403226,47.23790323,-2.662903226,19.3016129,116.1201613,187.6266129,-105.6991935,-30.73709677,-79.93064516
293,Marry You,Bruno Mars,pop,360.8600806,44.80524194,47.14717742,-2.652419355,19.30080645,116.3673387,187.4366935,-106.2068548,-30.90564516,-80.59919355
294,Cooler Than Me - Single Mix,Mike Posner,dance pop,361.9080645,44.65645161,47.05645161,-2.641935484,19.3,116.6145161,187.2467742,-106.7145161,-31.07419355,-81.26774194
295,Telephone,Lady Gaga,dance pop,362.9560484,44.50766129,46.96572581,-2.631451613,19.29919355,116.8616935,187.0568548,-107.2221774,-31.24274194,-81.93629032
296,Like A G11,Far East Movement,dance pop,364.0040323,44.35887097,46.875,-2.620967742,19.2983871,117.108871,186.8669355,-107.7298387,-31.41129032,-82.60483871
297,OMG (feat. will.i.am),Usher,atl hip hop,365.0520161,44.21008065,46.78427419,-2.610483871,19.29758065,117.3560484,186.6770161,-108.2375,-31.57983871,-83.2733871
298,Eenie Meenie,Sean Kingston,dance pop,366.1,44.06129032,46.69354839,-2.6,19.29677419,117.6032258,186.4870968,-108.7451613,-31.7483871,-83.94193548
299,The Time (Dirty Bit),The Black Eyed Peas,dance pop,367.1479839,43.9125,46.60282258,-2.589516129,19.29596774,117.8504032,186.2971774,-109.2528226,-31.91693548,-84.61048387
300,Alejandro,Lady Gaga,dance pop,368.1959677,43.76370968,46.51209677,-2.579032258,19.29516129,118.0975806,186.1072581,-109.7604839,-32.08548387,-85.27903226
301,"Hey, Soul Sister",Train,neo mellow,369.2439516,43.61491935,46.42137097,-2.568548387,19.29435484,118.3447581,185.9173387,-110.2681452,-32.25403226,-85.94758065
302,Love The Way You Lie,Eminem,detroit hip hop,370.2919355,43.46612903,46.33064516,-2.558064516,19.29354839,118.5919355,185.7274194,-110.7758065,-32.42258065,-86.61612903
303,TiK ToK,Kesha,dance pop,371.3399194,43.31733871,46.23991935,-2.547580645,19.29274194,118.8391129,185.5375,-111.2834677,-32.59112903,-87.28467742
304,Bad Romance,Lady Gaga,dance pop,372.3879032,43.16854839,46.14919355,-2.537096774,19.29193548,119.0862903,185.3475806,-111.791129,-32.75967742,-87.95322581
305,Just the Way You Are,Bruno Mars,pop,373.4358871,43.01975806,46.05846774,-2.526612903,19.29112903,119.3334677,185.1576613,-112.2987903,-32.92822581,-88.62177419
306,Baby,Justin Bieber,canadian pop,374.483871,42.87096774,45.96774194,-2.516129032,19.29032258,119.5806452,184.9677419,-112.8064516,-33.09677419,-89.29032258
307,Dynamite,Taio Cruz,dance pop,375.5318548,42.72217742,45.87701613,-2.505645161,19.28951613,119.8278226,184.7778226,-113.3141129,-33.26532258,-89.95887097
308,Secrets,OneRepublic,dance pop,376.5798387,42.5733871,45.78629032,-2.49516129,19.28870968,120.075,184.5879032,-113.8217742,-33.43387097,-90.62741935
309,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,377.6278226,42.42459677,45.69556452,-2.484677419,19.28790323,120.3221774,184.3979839,-114.3294355,-33.60241935,-91.29596774
310,Only Girl (In The World),Rihanna,barbadian pop,378.6758065,42.27580645,45.60483871,-2.474193548,19.28709677,120.5693548,184.2080645,-114.8370968,-33.77096774,-91.96451613
311,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,379.7237903,42.12701613,45.5141129,-2.463709677,19.28629032,120.8165323,184.0181452,-115.3447581,-33.93951613,-92.63306452
312,Marry You,Bruno Mars,pop,380.7717742,41.97822581,45.4233871,-2.453225806,19.28548387,121.0637097,183.8282258,-115.8524194,-34.10806452,-93.3016129
313,Cooler Than Me - Single Mix,Mike Posner,dance pop,381.8197581,41.82943548,45.33266129,-2.442741935,19.28467742,121.3108871,183.6383065,-116.3600806,-34.2766129,-93.97016129
314,Telephone,Lady Gaga,dance pop,382.8677419,41.68064516,45.24193548,-2.432258065,19.28387097,121.5580645,183.4483871,-116.8677419,-34.44516129,-94.63870968
315,Like A G11,Far East Movement,dance pop,383.9157258,41.53185484,45.15120968,-2.421774194,19.28306452,121.8052419,183.2584677,-117.3754032,-34.61370968,-95.30725806
316,OMG (feat. will.i.am),Usher,atl hip hop,384.9637097,41.38306452,45.06048387,-2.411290323,19.28225806,122.0524194,183.0685484,-117.8830645,-34.78225806,-95.97580645
317,Eenie Meenie,Sean Kingston,dance pop,386.0116935,41.23427419,44.96975806,-2.400806452,19.28145161,122.2995968,182.878629,-118.3907258,-34.95080645,-96.64435484
318,The Time (Dirty Bit),The Black Eyed Peas,dance pop,387.0596774,41.08548387,44.87903226,-2.390322581,19.28064516,122.5467742,182.6887097,-118.8983871,-35.11935484,-97.31290323
319,Alejandro,Lady Gaga,dance pop,388.1076613,40.93669355,44.78830645,-2.37983871,19.27983871,122.7939516,182.4987903,-119.4060484,-35.28790323,-97.98145161
320,Your Love Is My Drug,Kesha,dance pop,389.1556452,40.78790323,44.69758065,-2.369354839,19.27903226,123.041129,182.308871,-119.9137097,-35.45645161,-98.65
321,Meet Me Halfway,The Black Eyed Peas,dance pop,390.203629,40.6391129,44.60685484,-2.358870968,19.27822581,123.2883065,182.1189516,-120.421371,-35.625,-99.31854839
322,Whataya Want from Me,Adam Lambert,australian pop,391.2516129,40.49032258,44.51612903,-2.348387097,19.27741935,123.5354839,181.9290323,-120.9290323,-35.79354839,-99.98709677
323,Take It Off,Kesha,dance pop,392.2995968,40.34153226,44.42540323,-2.337903226,19.2766129,123.7826613,181.7391129,-121.4366935,-35.96209677,-100.6556452
324,Misery,Maroon 10,pop,393.3475806,40.19274194,44.33467742,-2.327419355,19.27580645,124.0298387,181.5491935,-121.9443548,-36.13064516,-101.3241935
325,All The Right Moves,OneRepublic,dance pop,394.3955645,40.04395161,44.24395161,-2.316935484,19.275,124.2770161,181.3592742,-122.4520161,-36.29919355,-101.9927419
326,Animal,Neon Trees,indie pop,395.4435484,39.89516129,44.15322581,-2.306451613,19.27419355,124.5241935,181.1693548,-122.9596774,-36.46774194,-102.6612903
327,Naturally,Selena Gomez & The Scene,dance pop,396.4915323,39.74637097,44.0625,-2.295967742,19.2733871,124.771371,180.9794355,-123.4673387,-36.63629032,-103.3298387
328,I Like It,Enrique Iglesias,dance pop,397.5395161,39.59758065,43.97177419,-2.285483871,19.27258065,125.0185484,180.7895161,-123.975,-36.80483871,-103.9983871
329,Teenage Dream,Katy Perry,dance pop,398.5875,39.44879032,43.88104839,-2.275,19.27177419,125.2657258,180.5995968,-124.4826613,-36.9733871,-104.6669355
330,California Gurls,Katy Perry,dance pop,399.6354839,39.3,43.79032258,-2.264516129,19.27096774,125.5129032,180.4096774,-124.9903226,-37.14193548,-105.3354839
331,8,Britney Spears,dance pop,400.6834677,39.15120968,43.69959677,-2.254032258,19.27016129,125.7600806,180.2197581,-125.4979839,-37.31048387,-106.0040323
332,"Hey, Soul Sister",Train,neo mellow,401.7314516,39.00241935,43.60887097,-2.243548387,19.26935484,126.0072581,180.0298387,-126.0056452,-37.47903226,-106.6725806
333,Love The Way You Lie,Eminem,detroit hip hop,402.7794355,38.85362903,43.51814516,-2.233064516,19.26854839,126.2544355,179.8399194,-126.5133065,-37.64758065,-107.341129
334,TiK ToK,Kesha,dance pop,403.8274194,38.70483871,43.42741935,-2.222580645,19.26774194,126.5016129,179.65,-127.0209677,-37.81612903,-108.0096774
335,Bad Romance,Lady Gaga,dance pop,404.8754032,38.55604839,43.33669355,-2.212096774,19.26693548,126.7487903,179.4600806,-127.528629,-37.98467742,-108.6782258
336,Just the Way You Are,Bruno Mars,pop,405.9233871,38.40725806,43.24596774,-2.201612903,19.26612903,126.9959677,179.2701613,-128.0362903,-38.15322581,-109.3467742
337,Baby,Justin Bieber,canadian pop,406.971371,38.25846774,43.15524194,-2.191129032,19.26532258,127.2431452,179.0802419,-128.5439516,-38.32177419,-110.0153226
338,Dynamite,Taio Cruz,dance pop,408.0193548,38.10967742,43.06451613,-2.180645161,19.26451613,127.4903226,178.8903226,-129.0516129,-38.49032258,-110.683871
339,Secrets,OneRepublic,dance pop,409.0673387,37.9608871,42.97379032,-2.17016129,19.26370968,127.7375,178.7004032,-129.5592742,-38.65887097,-111.3524194
340,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,410.1153226,37.81209677,42.88306452,-2.159677419,19.26290323,127.9846774,178.5104839,-130.0669355,-38.82741935,-112.0209677
341,Only Girl (In The World),Rihanna,barbadian pop,411.1633065,37.66330645,42.79233871,-2.149193548,19.26209677,128.2318548,178.3205645,-130.5745968,-38.99596774,-112.6895161
342,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,412.2112903,37.51451613,42.7016129,-2.138709677,19.26129032,128.4790323,178.1306452,-131.0822581,-39.16451613,-113.3580645
343,Marry You,Bruno Mars,pop,413.2592742,37.36572581,42.6108871,-2.128225806,19.26048387,128.7262097,177.9407258,-131.5899194,-39.33306452,-114.0266129
344,Cooler Than Me - Single Mix,Mike Posner,dance pop,414.3072581,37.21693548,42.52016129,-2.117741935,19.25967742,128.9733871,177.7508065,-132.0975806,-39.5016129,-114.6951613
345,Telephone,Lady Gaga,dance pop,415.3552419,37.06814516,42.42943548,-2.107258065,19.25887097,129.2205645,177.5608871,-132.6052419,-39.67016129,-115.3637097
346,Like A G12,Far East Movement,dance pop,416.4032258,36.91935484,42.33870968,-2.096774194,19.25806452,129.4677419,177.3709677,-133.1129032,-39.83870968,-116.0322581
347,OMG (feat. will.i.am),Usher,atl hip hop,417.4512097,36.77056452,42.24798387,-2.086290323,19.25725806,129.7149194,177.1810484,-133.6205645,-40.00725806,-116.7008065
348,Eenie Meenie,Sean Kingston,dance pop,418.4991935,36.62177419,42.15725806,-2.075806452,19.25645161,129.9620968,176.991129,-134.1282258,-40.17580645,-117.3693548
349,The Time (Dirty Bit),The Black Eyed Peas,dance pop,419.5471774,36.47298387,42.06653226,-2.065322581,19.25564516,130.2092742,176.8012097,-134.6358871,-40.34435484,-118.0379032
350,Alejandro,Lady Gaga,dance pop,420.5951613,36.32419355,41.97580645,-2.05483871,19.25483871,130.4564516,176.6112903,-135.1435484,-40.51290323,-118.7064516
351,"Hey, Soul Sister",Train,neo mellow,421.6431452,36.17540323,41.88508065,-2.044354839,19.25403226,130.703629,176.421371,-135.6512097,-40.68145161,-119.375
352,Love The Way You Lie,Eminem,detroit hip hop,422.691129,36.0266129,41.79435484,-2.033870968,19.25322581,130.9508065,176.2314516,-136.158871,-40.85,-120.0435484
353,TiK ToK,Kesha,dance pop,423.7391129,35.87782258,41.70362903,-2.023387097,19.25241935,131.1979839,176.0415323,-136.6665323,-41.01854839,-120.7120968
354,Bad Romance,Lady Gaga,dance pop,424.7870968,35.72903226,41.61290323,-2.012903226,19.2516129,131.4451613,175.8516129,-137.1741935,-41.18709677,-121.3806452
355,Just the Way You Are,Bruno Mars,pop,425.8350806,35.58024194,41.52217742,-2.002419355,19.25080645,131.6923387,175.6616935,-137.6818548,-41.35564516,-122.0491935
356,Baby,Justin Bieber,canadian pop,426.8830645,35.43145161,41.43145161,-1.991935484,19.25,131.9395161,175.4717742,-138.1895161,-41.52419355,-122.7177419
357,Dynamite,Taio Cruz,dance pop,427.9310484,35.28266129,41.34072581,-1.981451613,19.24919355,132.1866935,175.2818548,-138.6971774,-41.69274194,-123.3862903
358,Secrets,OneRepublic,dance pop,428.9790323,35.13387097,41.25,-1.970967742,19.2483871,132.433871,175.0919355,-139.2048387,-41.86129032,-124.0548387
359,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,430.0270161,34.98508065,41.15927419,-1.960483871,19.24758065,132.6810484,174.9020161,-139.7125,-42.02983871,-124.7233871
360,Only Girl (In The World),Rihanna,barbadian pop,431.075,34.83629032,41.06854839,-1.95,19.24677419,132.9282258,174.7120968,-140.2201613,-42.1983871,-125.3919355
361,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,432.1229839,34.6875,40.97782258,-1.939516129,19.24596774,133.1754032,174.5221774,-140.7278226,-42.36693548,-126.0604839
